Key:[1603] Value:[4992 4992]
Key:[231] Value:[521 2650]
Key:[869] Value:[2394 2394]
Key:[226] Value:[504 504]
Key:[66] Value:[164 4831]
Key:[225] Value:[503 503]
Key:[372] Value:[914 914]
Key:[406] Value:[1058 4631]
Key:[222] Value:[499 3537]
Key:[374] Value:[921 4986]
Key:[76] Value:[177 177]
Key:[310] Value:[732 944]
Key:[147] Value:[324 1269]
Key:[44] Value:[115 2384]
Key:[218] Value:[489 489]
Key:[637] Value:[1691 1691]
Key:[1020] Value:[2832 2832]
Key:[333] Value:[815 4959]
Key:[21] Value:[46 46]
Key:[1362] Value:[4008 4008]
Key:[217] Value:[488 488]
Key:[1545] Value:[4748 4748]
Key:[1534] Value:[4725 4725]
Key:[216] Value:[487 487]
Key:[1159] Value:[3245 3245]
Key:[400] Value:[1030 1030]
Key:[499] Value:[1287 1287]
Key:[215] Value:[486 1143]
Key:[944] Value:[2627 2627]
Key:[212] Value:[477 1164]
Key:[169] Value:[368 2329]
Key:[209] Value:[474 474]
Key:[1366] Value:[4045 4688]
Key:[206] Value:[471 471]
Key:[204] Value:[461 1703]
Key:[1302] Value:[3822 3822]
Key:[1147] Value:[3219 3219]
Key:[654] Value:[1722 4466]
Key:[202] Value:[456 459]
Key:[129] Value:[279 4629]
Key:[399] Value:[1022 1022]
Key:[201] Value:[454 3571]
Key:[444] Value:[1135 4222]
Key:[259] Value:[614 614]
Key:[325] Value:[780 780]
Key:[199] Value:[452 452]
Key:[672] Value:[1758 4839]
Key:[214] Value:[480 4704]
Key:[1319] Value:[3872 3872]
Key:[50] Value:[132 3887]
Key:[84] Value:[188 3530]
Key:[1275] Value:[3725 4861]
Key:[1030] Value:[2862 2863]
Key:[156] Value:[342 4200]
Key:[1470] Value:[4480 4750]
Key:[1449] Value:[4411 4700]
Key:[1291] Value:[3776 3776]
Key:[91] Value:[201 4555]
Key:[1347] Value:[3961 3961]
Key:[969] Value:[2690 2697]
Key:[78] Value:[180 180]
Key:[114] Value:[239 4941]
Key:[410] Value:[1065 1065]
Key:[234] Value:[527 527]
Key:[88] Value:[195 195]
Key:[918] Value:[2541 2541]
Key:[81] Value:[185 185]
Key:[143] Value:[307 2921]
Key:[173] Value:[383 3512]
Key:[207] Value:[472 598]
Key:[889] Value:[2463 2463]
Key:[383] Value:[959 4846]
Key:[455] Value:[1170 2942]
Key:[367] Value:[906 906]
Key:[25] Value:[75 75]
Key:[72] Value:[171 171]
Key:[148] Value:[325 343]
Key:[477] Value:[1231 4343]
Key:[258] Value:[610 4012]
Key:[272] Value:[643 1245]
Key:[1174] Value:[3308 3308]
Key:[447] Value:[1140 1770]
Key:[1577] Value:[4894 4936]
Key:[1205] Value:[3411 3411]
Key:[567] Value:[1528 2678]
Key:[144] Value:[310 2415]
Key:[337] Value:[825 2595]
Key:[737] Value:[1954 1954]
Key:[813] Value:[2224 4707]
Key:[251] Value:[599 599]
Key:[288] Value:[694 694]
Key:[509] Value:[1310 3680]
Key:[298] Value:[710 711]
Key:[64] Value:[162 162]
Key:[1382] Value:[4135 4165]
Key:[22] Value:[50 50]
Key:[886] Value:[2450 2802]
Key:[30] Value:[86 4912]
Key:[1488] Value:[4545 4545]
Key:[137] Value:[294 294]
Key:[61] Value:[155 2887]
Key:[1] Value:[1 52]
Key:[328] Value:[790 4502]
Key:[67] Value:[165 2230]
Key:[1027] Value:[2850 4437]
Key:[17] Value:[35 124]
Key:[1254] Value:[3642 3656]
Key:[1105] Value:[3100 3100]
Key:[874] Value:[2404 2404]
Key:[408] Value:[1063 4105]
Key:[368] Value:[907 3035]
Key:[269] Value:[634 646]
Key:[1091] Value:[3062 3573]
Key:[92] Value:[202 204]
Key:[389] Value:[988 1111]
Key:[651] Value:[1716 1859]
Key:[115] Value:[240 3815]
Key:[63] Value:[158 381]
Key:[1462] Value:[4452 4452]
Key:[264] Value:[623 623]
Key:[51] Value:[133 276]
Key:[57] Value:[147 629]
Key:[1446] Value:[4404 4404]
Key:[56] Value:[143 3788]
Key:[1576] Value:[4874 4886]
Key:[1242] Value:[3585 3652]
Key:[37] Value:[102 102]
Key:[625] Value:[1667 1667]
Key:[1108] Value:[3104 4660]
Key:[728] Value:[1909 1909]
Key:[539] Value:[1463 1463]
Key:[756] Value:[2040 2540]
Key:[703] Value:[1822 2427]
Key:[49] Value:[130 466]
Key:[48] Value:[127 127]
